month,market,currency,active_merchants,new_merchants,active_users,transactions,transaction_volume_usd,average_transaction_usd,transaction_success_rate,average_spread_pct,digital_payment_adoption_pct,cross_border_payment_demand_index
2026-01,Nigeria,NGN,420,38,18500,42800,4825000,112.73,96.2,1.85,68,82
2026-01,Ghana,GHS,285,27,11200,25100,2140000,85.26,95.4,2.10,62,76
2026-01,Kenya,KES,310,31,12800,28900,2675000,92.56,96.0,1.95,71,79
2026-01,Uganda,UGX,165,18,6900,14200,985000,69.37,94.8,2.35,48,68
2026-02,Nigeria,NGN,438,41,19400,45100,5130000,113.75,96.5,1.78,69,84
2026-02,Ghana,GHS,298,29,11800,26700,2295000,85.96,95.7,2.02,63,78
2026-02,Kenya,KES,326,33,13400,30100,2815000,93.52,96.2,1.88,72,81
2026-02,Uganda,UGX,174,19,7200,15100,1060000,70.20,95.1,2.28,49,70
2026-03,Nigeria,NGN,462,44,20700,48600,5580000,114.81,96.7,1.72,70,86
2026-03,Ghana,GHS,314,32,12500,28300,2465000,87.10,95.9,1.96,64,79
2026-03,Kenya,KES,341,35,14100,31600,2995000,94.78,96.4,1.82,73,82
2026-03,Uganda,UGX,183,21,7500,15900,1135000,71.38,95.3,2.21,50,72
2026-04,Nigeria,NGN,489,47,22100,52300,6055000,115.77,96.9,1.67,71,88
2026-04,Ghana,GHS,331,34,13300,30100,2640000,87.71,96.1,1.91,65,81
2026-04,Kenya,KES,357,36,14900,33100,3165000,95.62,96.6,1.76,74,84
2026-04,Uganda,UGX,194,23,7850,16800,1210000,72.02,95.5,2.14,51,74
2026-05,Nigeria,NGN,517,51,23600,56100,6550000,116.76,97.0,1.61,72,90
2026-05,Ghana,GHS,349,36,14100,32000,2825000,88.28,96.3,1.86,66,82
2026-05,Kenya,KES,374,38,15700,34800,3345000,96.12,96.8,1.71,75,85
2026-05,Uganda,UGX,207,25,8200,17700,1295000,73.16,95.7,2.08,52,76
2026-06,Nigeria,NGN,548,55,25100,60200,7110000,118.11,97.2,1.55,73,92
2026-06,Ghana,GHS,368,39,14900,33900,3015000,88.94,96.5,1.81,67,84
2026-06,Kenya,KES,392,41,16500,36600,3535000,96.58,97.0,1.66,76,87
2026-06,Uganda,UGX,221,27,8600,18700,1385000,74.06,95.9,2.02,53,78
